x,y,game,position,position_away,dist,dist_away,x_away,y_away,play_index
-20.3025024653,32.72,,FS,WR,24.0,24.0,-27.5425024653,38.06,128
-24.8225024653,35.01,,OLB,FB,24.0,24.0,-27.1425024653,7.68,128
-17.8825024653,44.78,,CB,WR,24.0,24.0,-27.0325024653,18.99,128
-24.9625024653,24.92,,DE,OT,24.0,24.0,-27.0025024653,26.99,128
-13.5525024653,28.3,,FS,G,24.0,24.0,-26.4325024653,29.96,128
-22.9825024653,18.57,,CB,QB,24.0,24.0,-30.3625024653,29.75,128
-24.5825024653,27.46,,LB,TE,24.0,24.0,-26.2225024653,22.3,128
-20.4125024653,23.44,,ILB,WR,24.0,24.0,-26.2125024653,44.81,128
-20.9525024653,40.09,,SS,T,24.0,24.0,-27.3125024653,32.86,128
-25.5745263045,28.45,,DE,SS,24.0,24.0,-29.6545263045,33.41,76
-24.7945263045,27.19,,LB,LS,24.0,24.0,-26.4345263045,29.69,76
-24.9145263045,30.74,,TE,LB,24.0,24.0,-27.2445263045,30.84,76
-24.9145263045,49.76,,FS,LB,24.0,24.0,-27.1945263045,28.31,76
-23.3145263045,30.55,,FS,P,24.0,24.0,-40.5245263045,29.47,76
-25.1245263045,34.01,,LB,TE,24.0,24.0,-27.8745263045,32.48,76
-25.3945263045,34.87,,SS,ILB,24.0,24.0,-29.7345263045,26.04,76
14.4354736955,36.72,,WR,SS,24.0,24.0,-30.2545263045,28.62,76
-23.8645263045,12.82,,CB,WR,24.0,24.0,-26.6445263045,49.58,76
-25.6045263045,24.59,,LB,RB,24.0,24.0,-27.4345263045,26.82,76
-24.5045263045,23.12,,DB,CB,24.0,24.0,-26.4545263045,13.08,76
7.0388832066,29.79,,RB,DT,24.0,24.0,-0.161116793396,29.14,140
1.0088832066,13.97,,WR,MLB,24.0,24.0,-4.1711167934,33.4,140
0.998883206604,34.27,,TE,OLB,24.0,24.0,-1.4511167934,37.16,140
1.5188832066,35.45,,TE,FS,24.0,24.0,-12.6511167934,29.84,140
1.7788832066,36.44,,TE,SS,24.0,24.0,-4.7411167934,27.13,140
1.2488832066,32.81,,OG,DT,24.0,24.0,-0.171116793396,32.12,140
1.0488832066,31.4,,G,CB,24.0,24.0,-5.0811167934,40.65,140
1.4588832066,26.41,,T,DE,24.0,24.0,-0.371116793396,35.7,140
0.608883206604,29.52,,C,SS,24.0,24.0,-1.7911167934,14.28,140
1.9488832066,29.76,,QB,NT,24.0,24.0,-0.701116793396,26.87,140
1.0288832066,27.96,,G,DE,24.0,24.0,-0.431116793396,25.0,140
4.42828643826,32.71,,RB,DT,24.0,24.0,-0.661713561736,29.88,30
1.03828643826,17.97,,WR,MLB,24.0,24.0,-4.73171356174,25.74,30
0.418286438264,35.7,,TE,OLB,24.0,24.0,-4.14171356174,34.99,30
0.328286438264,22.84,,TE,FS,24.0,24.0,-12.8117135617,25.18,30
0.908286438264,32.97,,OG,SS,24.0,24.0,-5.44171356174,21.03,30
0.888286438264,31.47,,G,CB,24.0,24.0,-6.53171356174,38.87,30
1.57828643826,26.4,,T,DE,24.0,24.0,-1.18171356174,34.64,30
0.238286438264,29.65,,C,SS,24.0,24.0,-7.04171356174,16.29,30
4.64828643826,29.64,,QB,NT,24.0,24.0,-0.881713561736,27.12,30
0.828286438264,28.09,,G,DE,24.0,24.0,-0.941713561736,25.06,30
1.90828643826,23.37,,WR,DT,24.0,24.0,-0.701713561736,32.61,30
1.74510249605,8.29,,WR,OLB,24.0,24.0,-0.574897503951,21.91,133
0.975102496049,24.27,,TE,FS,24.0,24.0,-11.274897504,28.53,133
1.63510249605,35.83,,TE,SS,24.0,24.0,-1.00489750395,36.31,133
